DW_TEMPO;Ano;Mês;Dia
1df6b771f55f374962ac92300532a4333224c94355a5d88250d4ab146e9a6230;2018;07;30
c074b53107fc40272a5191283cc66a54f4a6359e1243efd77ad73c5740154783;2018;06;10
14551cd1eb6d3a18eab112f42043e299ccb3be934866eb0ca962a71d0155e391;2017;04;26
163d8026f3d3ad52e13968368a391acd5e5d98eaf9a25a9326819c0d2cafec3c;2017;06;29
9d9f3fba73f352ff23d78c4b7730c05450e113e5301110eb3a207952e9f4a014;2017;02;05
ff20475802068e258972d676617967b48de8524fe8b24e18cfba3e7a7ea29633;2017;12;30
195943eaf5fd5210c2ec43fb0d7722e911a192aa5feaa6412a97c6796fd340e9;2017;12;09
b2cf0b87233ac4ffc29330deaba0eb5eddcf17b129af3ce587dc921a3cc4c540;2019;01;01
db3c8b9d519996bffd9dd4e58d8484db9ccb7cb47a6807765a662acba60b0264;2018;06;26
e011d4ff900816552aade75ed8c37ec8cbb76044a81d5a9f8060e064aa1cf117;2017;09;24
764610f03064238ba01f10912e25b7aa8f0a11329c4a8d8bce097813075b9dc1;2018;09;18
2acc7650ebd1e8b2122b2ead2d6d76117385d5ec3551d049bb86087d7cb9b996;2017;06;10
f08b57bb9cca7043d471547968d1b7fb22490ed2acf7f5ae4618332a56ea850e;2017;05;20
11e7e971382a9858f4650634689e14b26786e56b2517c49bb3d8f13f5d06d2e6;2017;03;05
e0fb53fd80ee1cc4acc64400b7556eaaaa79be90794da3dd1476e3c120e52d1f;2018;12;15
6fe0f7f051d5525b560d1cd1c6aed28ccee22f8249a259ab003c663fad120674;2017;07;09
0df3ceb577b97bd840a9a30191892e3d9550b4005c1128ed305d04d6a0477ab9;2017;08;05
0dd08de0247a4a053be4bdbc8ccc1f83ab5f3094fc82ead3ed1779f8223efa12;2017;07;27
ca0b2aba877fd6b21232adf1e516fc54fe00c5e3af66eb0fb3e44da93a053c5e;2017;05;12
6213aaed495b917c50092114ebc978f2326ccc11191aa8a1572038ce094e7150;2019;01;02
fdf6db7bcefe95d6bca08f33e212bb4d059f656e1f34828a1c1e0a3e3d1e3fb5;2019;02;06
112232f4574bc6af7be7928b06f53476412e92373192a857c75ae6aeb7b8a971;2018;04;01
1cd5db918d300cb246c59bc74d811fa42942a002db75787c59db33f98a0f577b;2017;03;08
92c7b824b5cef077aa659fa3005bb2f34b4ee5f54287d53a0779316aea501444;2017;11;19
c40b790a505a0028906c7457ffd7378b797c4b1decf8d77789e9e86cfca27dc4;2018;11;13
f6edac64a4a964dac31328867f1632164b564320764a89c64f0c26b45e97e881;2018;11;26
8df5604e4514efc1308200ea2b14b4ed09ef2ce1b130a70530c49690e2a6200f;2017;05;25
0ded6358c4e0a1ec81e407bc32646af3bc2e2c6dbba0a3969d2688f115f1b03c;2017;10;07
fc33df38546d06ccc10f40b81ee9e42411ee3edc6457059a564c751be05ba63c;2017;02;24
