DW_CLIENTES;DW_LOCALIDADE;DW_TEMPO;sum(sales_amount)
6ec76b350565166f17ed9f7eee2242d9b333f06d11932b59145305643335985f;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;2ee058a6e78801963654483d1e10358aaf5e4b861b86386479d276368239ed45;39394.19
a139a468e26f470920b6876c3943bcf90619e4b402d7a0e788263a088b48aae1;ab31b87876185ebdb4d57512de756a9f3811fab186862d2219ef2ca400756d3e;8dcc411eaf83f049d68cf2c8db23abd843858cb0d18f8cde23092db57592f40e;5390.95
a139a468e26f470920b6876c3943bcf90619e4b402d7a0e788263a088b48aae1;ab31b87876185ebdb4d57512de756a9f3811fab186862d2219ef2ca400756d3e;de0f19de3a80a6e684039716a246dc59fb099f4795eb4b2643d106a75b3dbc3f;422.28
a139a468e26f470920b6876c3943bcf90619e4b402d7a0e788263a088b48aae1;ab31b87876185ebdb4d57512de756a9f3811fab186862d2219ef2ca400756d3e;0bfbf151927ffea9f09d1a48a26fa84a2350003918bae31ed89771196f3cc991;213.22
24723d81eccfe3c3b5456b1909544212450f2b87fa35229a579d70a0502d7eb5;4fbedaf1e9914ebed5849c3ff095a295b0e709a350e63b526214f78f7526dc70;ea3a93b8de63fddc81ba02d541adad7d5f377cfff9dbb43b4d28ed578a243be3;1757.2
a332519956a633d685432826a1120a973292a25bcc72fca778002c043ae2c931;ea14c492df773ca6b6217fd89cfaeecce05c1b75be3f2206732f25c13c008006;7f4abc7e7ca20e4a43c995526cc47b581ef3d2ac1c9e59d3ab6dce36a59d52cc;921.29
76e7a038993bcfe6d1bcb910e52394a078c9e917637ecfacec5012e8551fa1ae;c7241def00733967f6eb9b121687906fa03fe73b72123c5281e1233406b68b61;a1453393acf3cf457398470a96adf0b37dc040da3427a73de45e5bc50f8a0b1c;3176.64
6a0f281700d8696ae15476f236fc4c861daaed06f1482c5d22a2ea63e93bab18;2663278a98040a8a86826990324fbf3316fbf842b2aa4a477311111ef57c3e67;b2cf0b87233ac4ffc29330deaba0eb5eddcf17b129af3ce587dc921a3cc4c540;1166.8000000000002
653cc994276af4c6cf8be274447863bb32d836977b5fcce88761c39bc6c2e510;962b1fbbae287bc7fd4095fde55ae29f017a27d8b836e747863d06c867d57d8b;f4d7265e1c4d738dba6d5565442b1de5b8c5d90e34edb204507358a7f23e2ed4;250.27
1046417cb787756c1803b113580b70488649415e76d032ba0b52536f1c0197c4;26694ae56c05929e20f56859090bb8950f9b347b0dbb8063e1bd0e9da6a3003f;416ab5106ad2440ac93f108a5542159fa6038b880e5febcda3de7d1431a77721;71257.12000000002
1046417cb787756c1803b113580b70488649415e76d032ba0b52536f1c0197c4;26694ae56c05929e20f56859090bb8950f9b347b0dbb8063e1bd0e9da6a3003f;5999022bc9e82e21c4785a05b5d57fe79bbd3831a13ea9439984cf097dc23e39;4436.79
1046417cb787756c1803b113580b70488649415e76d032ba0b52536f1c0197c4;26694ae56c05929e20f56859090bb8950f9b347b0dbb8063e1bd0e9da6a3003f;19c849d34b616c634fa5587ea7a2dfad70b0c72a991788a14282854f68c54746;15984.45
1046417cb787756c1803b113580b70488649415e76d032ba0b52536f1c0197c4;26694ae56c05929e20f56859090bb8950f9b347b0dbb8063e1bd0e9da6a3003f;bab641fad401e433866a1f2afbc0e48c07c30678188316ca14456d08c7b95725;2581.7799999999997
4248fdef8e326bdb3097fe3ed2d2c03734becfd6666a3221c8bb3b8aeac3c176;902a886d2a3eed32a1b6634ae5a26f120f77de1f3c256a5c287028555671023f;1d4e0ac98bd1591dfa22df53b00efb80e1abbd30c51a8a687d4973f3fe58c7bc;29977.23
896fe934b0da060804f3126bf14b26673c7fd7ed7dfbd6ac2d1dd0f118d61aa3;995ebe0d55449f7a8ab38b2de43cccc472d70094b5ccfa266271bcfa40ae1c1a;636149c64b140f1451f7bb40f73f117a9bb431236af8dc8206310c017052f608;31166.0
